Field,Category,Type,Vehicle Data Equivalent,Description,Proto Enum Name
"ACChargingEnergyIn","Charging","real","","The amount of energy in kWh added during an AC charging session. This is measured from the charger. This field should be ignored during DC charging.",""
"ACChargingPower","Charging","real","charge_state.charger_power","Total AC charger input power.",""
"AutoSeatClimateLeft","Climate","boolean","climate_state.auto_seat_climate_left","If the left front seat has auto seat climate enabled.",""
"AutoSeatClimateRight","Climate","boolean","climate_state.auto_seat_climate_right","If the right front seat has auto seat climate enabled.",""
"AutomaticBlindSpotCamera","Safety","boolean","","Indicates whether the blind spot camera is enabled.",""
"AutomaticEmergencyBrakingOff","Safety","boolean","","Indicates whether automatic emergency braking is disabled.",""
"BMSState","Charging","enum","","BMS operating state.","BMSStateValue"
"BatteryHeaterOn","Charging","boolean","climate_state.battery_heater_on","If the battery is actively heating itself. This may be done in cold weather or when preconditioning for supercharging. This field is not available on Pre-2021 Model S/X.",""
"BatteryLevel","Charging","real","charge_state.battery_level","The state of charge of the vehicle, as a percent of total battery capacity.",""
"BlindSpotCollisionWarningChime","Safety","boolean","","If the blindspot collision warning chime is enabled.",""
"BmsFullchargecomplete","Charging","boolean","","Indicates BMS is fully charged.",""
"BrakePedal","Driving","boolean","","Status of the brake pedal.",""
"BrakePedalPos","Driving","real","","Master cylinder pressure measured in the ESP.",""
"BrickVoltageMax","Charging","integer","","Brick voltage maximum.",""
"BrickVoltageMin","Charging","integer","","Brick voltage minimum.",""
"CabinOverheatProtectionMode","Climate","enum","climate_state.cabin_overheat_protection","The mode of cabin overheat protection.","CabinOverheatProtectionModeState"
"CabinOverheatProtectionTemperatureLimit","Climate","enum","climate_state.cop_activation_temperature","The temperature limit of cabin overheat protection, represented as low, medium, or high.","CabitOverheatProtectionTempLimit"
"CarType","Vehicle Configuration","enum","vehicle_config.car_type","The model of the vehicle.",""
"CenterDisplay","Vehicle State","enum","vehicle_state.center_display_state","The state of the center display.","DisplayState"
"ChargeAmps","Charging","real","charge_state.charger_actual_current","AC charger's sensed input line current.",""
"ChargeCurrentRequest","Charging","integer","charge_state.charge_current_request","The requested amps to charge the vehicle.",""
"ChargeCurrentRequestMax","Charging","integer","charge_state.charge_current_request_max","The maximum available amps available to charge.",""
"ChargeEnableRequest","Charging","boolean","charge_state.charge_enable_request","If charging is enabled.",""
"ChargeLimitSoc","Charging","integer","charge_state.charge_limit_soc","The state of charge at which charging will terminate, as a percentage of battery capacity.",""
"ChargePort","Charging","enum","vehicle_config.charge_port_type","The type of charge port installed.","ChargePortValue"
"ChargePortColdWeatherMode","Charging","boolean","charge_state.charge_port_cold_weather_mode","Indicates whether the charge port is in cold weather mode.",""
"ChargePortDoorOpen","Charging","boolean","charge_state.charge_port_door_open","Indicates whether the charge port door is open based only on the door potentiometer.",""
"ChargePortLatch","Charging","enum","charge_state.charge_port_latch","Sensed state of the charge port latch. Early Model 3 vehicles will not latch in cold weather (below 5 degrees Celsius).","ChargePortLatchValue"
"ChargeRateMilePerHour","Charging","real","charge_state.charge_rate","The number of miles being added per hour of charging, given the current charge rate.",""
"ChargeState","Charging","string","","The non-detailed charge state of the vehicle. See DetailedChargeState for detailed charge state data.",""
